TCR Val	Valid	Accept		V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	Total
11.00	True	True		183.43	179.23	162.55	196.96	193.63	218.56	156.34	129.74	117.48	124.23	226.40	145.69	197.64	210.69	105.66	139.57	243.92	117.55	129.06	125.02	197.05	100.00	109.31	175.91	219.69	164.61	115.59	147.12	110.61	196.66	219.35	218.23	197.17	151.02	205.84	234.96	218.22	222.14	152.46	128.45	158.64	235.10	133.52	172.26	217.75	144.57	201.47	207.15	125.72	198.33	187.82	115.33	125.44	161.01	130.35	212.55	129.06	137.83	149.39	214.81	219.01	126.05	163.74	136.95	138.56	144.01	209.95	229.99	138.45	203.42	210.65	118.35	110.44	123.89	132.53	149.91	212.04	174.11	154.23	200.11	250.43	205.92	135.83	147.58	232.92	145.05	210.21	225.67	197.32	131.73	224.00	212.89	113.79	212.32	226.31	201.56	125.44	222.99	119.45	119.78	17103.3935812
12.00	True	True		199.60	195.41	162.55	213.13	209.80	234.73	156.34	129.74	123.18	124.23	242.57	161.86	213.82	226.86	105.66	139.57	260.09	117.55	129.06	125.02	213.23	105.70	125.48	192.08	225.39	180.78	115.59	147.12	110.61	212.83	235.52	234.40	213.34	151.02	205.84	251.14	234.40	238.31	152.46	128.45	158.64	251.27	149.69	188.44	233.92	160.74	201.47	223.33	125.72	198.33	204.00	131.51	125.44	161.01	130.35	212.55	145.23	137.83	149.39	230.98	224.71	126.05	169.44	136.95	138.56	144.01	226.12	229.99	154.62	219.59	226.83	118.35	116.14	123.89	148.70	149.91	212.04	174.11	159.93	216.28	250.43	222.10	152.00	153.28	249.09	150.75	226.38	241.84	197.32	147.91	240.17	229.06	113.79	218.02	232.01	201.56	141.61	239.16	135.62	135.95	17958.5632602
13.00	True	True		217.27	213.07	162.55	230.80	227.47	252.39	163.12	129.74	123.18	141.90	260.24	179.52	231.48	244.53	105.66	139.57	277.75	117.55	129.06	125.02	230.89	105.70	125.48	209.74	243.05	187.56	115.59	164.78	110.61	212.83	253.19	252.07	231.00	151.02	223.50	268.80	252.06	238.31	152.46	128.45	165.42	268.93	149.69	206.10	251.59	160.74	219.13	240.99	125.72	205.10	221.66	131.51	125.44	167.78	130.35	230.21	145.23	137.83	149.39	237.76	242.37	143.72	176.21	136.95	156.22	144.01	226.12	247.66	154.62	237.26	233.60	118.35	116.14	123.89	148.70	149.91	229.71	174.11	166.71	233.95	268.09	239.76	152.00	153.28	266.76	157.52	244.04	259.51	214.99	147.91	240.17	246.72	113.79	235.68	249.67	219.22	159.27	256.83	135.62	135.95	18856.4914232
14.00	False	False		238.21	234.01	162.55	251.73	248.40	273.33	163.12	150.67	123.18	162.83	281.17	179.52	252.42	265.46	105.66	139.57	298.69	117.55	129.06	145.95	251.83	105.70	125.48	230.68	243.05	208.49	115.59	185.72	110.61	223.46	274.12	252.07	231.00	151.02	223.50	289.74	252.06	259.25	152.46	128.45	165.42	268.93	149.69	206.10	272.52	160.74	240.07	261.93	146.65	205.10	242.60	131.51	146.37	188.72	130.35	251.15	145.23	137.83	160.02	237.76	263.31	143.72	186.84	136.95	156.22	144.01	226.12	268.59	154.62	258.20	254.54	118.35	116.14	123.89	159.33	149.91	250.64	195.05	166.71	254.88	268.09	239.76	152.00	153.28	287.69	178.46	264.98	259.51	235.93	168.84	261.11	267.66	113.79	256.62	249.67	240.16	159.27	256.83	135.62	135.95	19799.3159944
15.00	True	True		246.64	242.44	162.55	251.73	269.57	294.49	163.12	150.67	123.18	183.99	302.33	179.52	273.58	286.62	105.66	139.57	319.85	117.55	129.06	145.95	260.26	105.70	125.48	239.11	264.21	208.49	115.59	194.15	119.04	223.46	295.28	273.23	252.16	172.18	244.67	310.90	273.22	259.25	152.46	128.45	165.42	290.09	149.69	227.26	293.68	160.74	261.23	283.09	167.81	213.53	263.76	152.67	146.37	197.15	130.35	272.31	145.23	158.99	160.02	258.92	284.47	143.72	186.84	136.95	156.22	165.17	247.28	268.59	154.62	279.36	275.70	118.35	116.14	145.06	159.33	171.07	250.64	216.21	175.14	254.88	268.09	260.92	152.00	153.28	308.85	186.89	286.14	259.51	244.36	190.00	282.27	267.66	113.79	277.78	249.67	261.32	159.27	265.26	135.62	157.12	20789.2817941
16.00	True	True		267.85	242.44	162.55	272.94	290.78	315.70	171.62	159.18	123.18	183.99	310.84	179.52	294.79	286.62	105.66	139.57	319.85	117.55	129.06	145.95	281.47	105.70	125.48	260.32	285.42	229.70	115.59	202.65	119.04	223.46	316.49	273.23	273.37	172.18	265.88	332.11	294.43	280.46	173.67	128.45	186.63	298.60	149.69	248.47	314.89	160.74	282.44	304.30	167.81	234.74	272.26	173.88	146.37	197.15	151.56	272.31	145.23	180.20	160.02	258.92	305.68	143.72	195.35	158.16	156.22	165.17	268.49	268.59	175.83	287.86	275.70	118.35	116.14	166.26	167.83	192.28	271.85	216.21	175.14	276.09	289.30	282.13	152.00	153.28	330.06	195.40	307.35	280.71	265.57	190.00	303.48	267.66	135.00	277.78	270.88	282.53	159.27	286.47	135.62	178.33	21828.7458838
17.00	True	True		290.64	265.23	162.55	295.73	313.56	338.49	180.20	159.18	123.18	183.99	333.63	179.52	294.79	309.41	128.45	139.57	342.64	140.34	151.85	145.95	304.26	105.70	125.48	260.32	285.42	252.49	115.59	211.23	119.04	232.04	339.28	296.02	296.16	172.18	265.88	354.90	303.01	289.04	173.67	151.24	186.63	321.39	149.69	257.05	314.89	160.74	305.23	327.09	190.60	257.53	295.05	196.67	169.16	205.73	151.56	295.10	145.23	180.20	160.02	281.71	328.47	143.72	203.92	158.16	156.22	165.17	291.28	291.38	175.83	310.65	298.49	118.35	116.14	166.26	176.41	192.28	294.64	216.21	183.71	298.88	312.09	304.92	152.00	153.28	338.64	203.97	307.35	303.50	265.57	212.79	326.27	267.66	135.00	300.57	293.67	291.10	159.27	309.26	135.62	178.33	22920.183178
18.00	True	True		312.46	287.06	162.55	317.56	313.56	360.32	187.22	159.18	123.18	183.99	355.46	179.52	316.62	331.24	128.45	139.57	364.47	140.34	151.85	145.95	304.26	105.70	132.50	267.35	307.25	274.32	115.59	218.25	119.04	239.06	361.11	303.04	317.99	172.18	287.70	376.72	324.83	310.86	173.67	151.24	186.63	343.21	149.69	257.05	336.72	167.77	327.06	348.91	212.43	279.36	316.88	218.49	169.16	212.75	151.56	302.13	145.23	202.02	160.02	303.54	350.29	165.54	225.75	179.99	156.22	165.17	313.11	313.21	197.65	332.48	320.32	140.17	137.97	166.26	183.43	192.28	316.47	216.21	190.74	320.71	333.92	326.75	173.83	153.28	360.47	225.80	329.18	310.53	265.57	234.62	333.29	289.49	135.00	307.59	293.67	291.10	159.27	331.08	135.62	178.33	24066.1923369
19.00	True	True		321.92	313.79	162.55	327.01	323.02	387.05	196.68	159.18	123.18	183.99	355.46	179.52	343.35	357.97	155.18	139.57	364.47	140.34	151.85	145.95	330.99	105.70	132.50	276.80	333.98	301.05	115.59	227.71	128.49	239.06	387.84	312.50	317.99	172.18	314.43	403.46	351.57	320.32	200.40	151.24	186.63	369.95	149.69	257.05	346.17	167.77	327.06	348.91	212.43	306.09	343.61	218.49	169.16	222.20	151.56	328.86	145.23	202.02	160.02	330.27	377.03	165.54	235.20	179.99	182.95	191.90	339.84	339.94	197.65	359.21	347.05	140.17	137.97	166.26	192.89	192.28	343.20	216.21	200.19	347.44	333.92	353.48	173.83	180.02	369.92	252.53	355.91	337.26	292.30	261.35	360.03	316.22	161.73	334.33	320.41	300.56	159.27	340.54	135.62	178.33	25269.5019538
20.00	True	True		347.37	339.24	162.55	352.47	348.47	412.50	207.88	184.63	123.18	183.99	355.46	179.52	343.35	383.43	180.63	139.57	389.92	140.34	177.30	145.95	356.44	105.70	143.71	276.80	359.43	301.05	115.59	253.16	128.49	239.06	413.29	337.95	343.44	172.18	339.89	428.91	377.02	331.52	225.86	176.70	186.63	395.40	149.69	282.50	371.63	167.77	352.51	360.12	212.43	331.54	343.61	243.95	169.16	247.66	177.02	354.31	145.23	227.47	160.02	355.72	402.48	165.54	246.41	179.99	182.95	191.90	351.04	339.94	197.65	384.66	347.05	140.17	137.97	191.72	192.89	192.28	368.66	216.21	225.64	347.44	333.92	378.93	173.83	180.02	395.37	252.53	381.36	362.71	317.75	286.81	385.48	316.22	161.73	359.78	320.41	326.01	159.27	365.99	135.62	178.33	26532.9770514
